season,team,c2c_games,total_tz,avg_tz,max_tz,home_games,points_for_home,points_against_home,home_wins,away_games,points_for_away,points_against_away,away_wins,total_games,total_wins,win_pct,points_for,points_against,point_diff,coast,made_playoffs
2023,CHI,0,5,0.5555555555555556,2,8,199,159,5,9,161,220,2,17,7,0.4117647058823529,360,379,-19,Central,0
2023,CIN,1,7,0.875,3,9,213,172,6,8,153,212,3,17,9,0.5294117647058824,366,384,-18,East,0
2023,CLE,1,8,0.8888888888888888,3,9,201,125,8,9,209,282,3,18,11,0.6111111111111112,410,407,3,East,1
2023,DAL,0,11,1.2222222222222223,2,9,331,175,8,9,210,188,4,18,12,0.6666666666666666,541,363,178,Central,1
2023,DEN,0,10,1.25,2,9,202,176,5,8,155,237,3,17,8,0.47058823529411764,357,413,-56,Central,0
2023,DET,0,6,0.6,2,10,299,219,8,10,248,256,6,20,14,0.7,547,475,72,Central,1
2023,GB,0,9,0.8181818181818182,2,8,155,160,5,11,297,246,5,19,10,0.5263157894736842,452,406,46,Central,0
2023,HOU,0,7,0.7777777777777778,1,10,266,197,7,9,166,204,4,19,11,0.5789473684210527,432,401,31,Central,1
2023,IND,0,6,0.75,1,9,231,229,4,8,165,186,5,17,9,0.5294117647058824,396,415,-19,Central,0
2023,JAX,0,4,0.5,1,9,187,186,4,8,190,185,5,17,9,0.5294117647058824,377,371,6,East,0
2023,KC,0,10,1.0,2,11,256,177,7,10,210,180,8,21,15,0.7142857142857143,466,357,109,Central,1
2023,LA,0,0,0.0,0,8,191,163,5,10,236,238,5,18,10,0.5555555555555556,427,401,26,Central,1
2023,LAC,2,15,1.875,3,9,194,208,2,8,152,190,3,17,5,0.29411764705882354,346,398,-52,West,0
2023,LV,2,15,1.875,3,9,209,140,6,8,123,191,2,17,8,0.47058823529411764,332,331,1,West,0
2023,MIA,1,5,0.5555555555555556,3,9,287,156,7,9,216,261,4,18,11,0.6111111111111112,503,417,86,East,1
2023,MIN,0,7,0.7777777777777778,2,8,154,186,2,9,190,176,5,17,7,0.4117647058823529,344,362,-18,Central,0
2023,NE,1,6,0.75,3,9,109,188,1,8,127,178,3,17,4,0.23529411764705882,236,366,-130,East,0
2023,NO,0,4,0.4444444444444444,1,8,201,151,5,9,201,176,4,17,9,0.5294117647058824,402,327,75,Central,0
2023,NYG,2,10,1.1111111111111112,3,8,113,149,4,9,153,258,2,17,6,0.35294117647058826,266,407,-141,East,0
2023,NYJ,1,6,0.75,3,9,159,176,4,8,109,179,3,17,7,0.4117647058823529,268,355,-87,East,0
2023,PHI,1,5,0.5,3,8,247,235,6,10,195,225,5,18,11,0.6111111111111112,442,460,-18,East,1
2023,PIT,2,8,0.8888888888888888,3,9,165,173,5,9,156,182,5,18,10,0.5555555555555556,321,355,-34,East,1
2023,SEA,3,16,1.7777777777777777,3,8,179,191,5,9,185,211,4,17,9,0.5294117647058824,364,402,-38,West,0
2023,SF,5,20,2.0,3,10,276,205,7,10,295,170,7,20,14,0.7,571,375,196,West,1
2023,TB,1,9,0.9,3,9,173,146,5,10,230,219,5,19,10,0.5263157894736842,403,365,38,East,0
2023,TEN,0,5,0.625,1,9,204,174,5,8,101,193,1,17,6,0.35294117647058826,305,367,-62,Central,0
2023,WAS,1,6,0.6666666666666666,3,8,128,272,1,9,201,246,3,17,4,0.23529411764705882,329,518,-189,East,0
2024,ARI,0,10,1.25,2,9,240,173,6,8,160,206,2,17,8,0.47058823529411764,400,379,21,Central,0
2024,ATL,1,7,0.875,3,9,215,217,4,8,174,206,4,17,8,0.47058823529411764,389,423,-34,East,0
2024,BAL,1,6,0.6,3,9,280,168,7,10,291,234,6,19,13,0.6842105263157895,571,402,169,East,1
2024,BUF,1,7,0.7,3,10,332,173,10,10,280,259,5,20,15,0.75,612,432,180,East,1
2024,CAR,1,7,0.875,3,9,190,253,3,8,151,281,2,17,5,0.29411764705882354,341,534,-193,East,0
2024,CHI,0,4,0.5,2,9,188,170,4,8,122,200,1,17,5,0.29411764705882354,310,370,-60,Central,0
2024,CIN,1,6,0.6666666666666666,3,8,231,230,3,9,241,204,6,17,9,0.5294117647058824,472,434,38,East,0
2024,CLE,1,6,0.6666666666666666,3,8,119,186,2,9,139,249,1,17,3,0.17647058823529413,258,435,-177,East,0
2024,DAL,0,9,1.125,2,9,161,281,2,8,189,187,5,17,7,0.4117647058823529,350,468,-118,Central,0
2024,DEN,0,15,1.5,2,8,232,119,6,10,200,223,4,18,10,0.5555555555555556,432,342,90,Central,1
2024,DET,0,3,0.375,2,10,349,242,7,8,246,145,8,18,15,0.8333333333333334,595,387,208,Central,1
2024,GB,0,5,0.5555555555555556,2,9,241,151,6,9,229,209,5,18,11,0.6111111111111112,470,360,110,Central,1
2024,HOU,0,3,0.3,1,9,193,186,6,10,225,221,5,19,11,0.5789473684210527,418,407,11,Central,1
2024,IND,0,5,0.5555555555555556,1,8,181,186,5,9,196,241,3,17,8,0.47058823529411764,377,427,-50,Central,0
2024,JAX,1,8,0.8888888888888888,3,8,181,178,3,9,139,257,1,17,4,0.23529411764705882,320,435,-115,East,0
2024,KC,0,13,1.3,2,10,245,192,10,10,217,217,7,20,17,0.85,462,409,53,Central,1
2024,LA,0,0,0.0,0,10,240,233,6,9,176,190,5,19,11,0.5789473684210527,416,423,-7,Central,1
2024,LAC,5,21,2.1,3,8,193,176,5,10,221,157,6,18,11,0.6111111111111112,414,333,81,West,1
2024,LV,4,17,1.8888888888888888,3,8,142,203,2,9,167,231,2,17,4,0.23529411764705882,309,434,-125,West,0
2024,MIA,1,6,0.6666666666666666,3,8,198,184,5,9,147,180,3,17,8,0.47058823529411764,345,364,-19,East,0
2024,MIN,0,4,0.4444444444444444,2,9,252,165,8,9,189,194,6,18,14,0.7777777777777778,441,359,82,Central,1
2024,NE,1,7,0.7777777777777778,3,8,152,210,2,9,137,207,2,17,4,0.23529411764705882,289,417,-128,East,0
2024,NO,0,6,0.75,2,9,194,206,3,8,144,192,2,17,5,0.29411764705882354,338,398,-60,Central,0
2024,NYG,1,4,0.5,3,9,130,232,1,8,143,183,2,17,3,0.17647058823529413,273,415,-142,East,0
2024,NYJ,1,7,0.7777777777777778,3,8,163,142,3,9,175,262,2,17,5,0.29411764705882354,338,404,-66,East,0
2024,PHI,0,2,0.25,1,13,384,234,12,8,224,146,6,21,18,0.8571428571428571,608,380,228,East,1
2024,PIT,1,6,0.6,3,8,172,141,5,10,222,234,5,18,10,0.5555555555555556,394,375,19,East,1
2024,SEA,3,14,1.75,3,9,177,208,3,8,198,160,7,17,10,0.5882352941176471,375,368,7,West,1
2024,SF,3,14,1.75,3,9,228,193,4,8,161,243,2,17,6,0.35294117647058826,389,436,-47,West,0
2024,TB,1,7,0.875,3,10,277,226,5,8,245,182,5,18,10,0.5555555555555556,522,408,114,East,1
2024,TEN,0,6,0.6666666666666666,2,8,128,184,1,9,183,276,2,17,3,0.17647058823529413,311,460,-149,Central,0
2024,WAS,0,5,0.45454545454545453,2,9,274,191,7,11,302,306,7,20,14,0.7,576,497,79,East,1
